tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,spd_limit,shape_Length,firstnm
129N04414,37,36.30192821,36.3602322,0.058026524,US1 SB,North of 4th St,South of 4th St,50,93.94778416,4th St
129-04413,38,36.3602322,36.86278813,0.501710218,US1 SB,South of 4th St,North of Ramp from Everett Ave,45,807.7030609,Chestnut St
129N04413,39,36.86278813,36.94235208,0.079661164,US1 SB,North of Ramp from Everett Ave,Ramp from Everett Ave,45,127.7009552,Chestnut St
129-04412,40,36.94235208,36.97813189,0.035872207,US1 SB,Ramp from Everett Ave,Mystic River/Tobin Bridge,25,57.55674774,Mystic River/Tobin Brg (North)
129N04412,41,36.97813189,37.08632724,0.108084821,US1 SB,Mystic River/Tobin Bridge,Mystic River/Tobin Bridge,15,174.0628411,Mystic River/Tobin Brg (North)
129-04411,42,37.08632724,37.42609677,0.338834258,US1 SB,Mystic River/Tobin Bridge,Mystic River/Tobin Bridge former toll plaza,15,546.6049289,Mystic Riv/Tobin Brg Toll Plaza
129N04411,43,37.42609677,37.46186459,0.03526781,US1 SB,Mystic River/Tobin Bridge former toll plaza,Mystic River/Tobin Bridge,15,57.55769415,Mystic Riv/Tobin Brg Toll Plaza
129-04410,44,37.46186459,37.75644074,0.294398417,US1 SB,Mystic River/Tobin Bridge,Mystic River/Tobin Bridge,30,474.4843371,Mystic River/Tobin Brg (South)
129N04410,45,37.75644074,37.81829416,0.062089215,US1 SB,Mystic River/Tobin Bridge,Mystic River/Tobin Bridge,45,99.66907831,Mystic River/Tobin Brg (South)
129-04409,46,37.81829416,38.06246285,0.244828679,US1 SB,Mystic River/Tobin Bridge,Mystic River/Tobin Bridge,40,393.2798477,I-93
129N04409,47,38.06246285,38.1095074,0.047092368,US1 SB,Mystic River/Tobin Bridge,I-93,30,75.76871855,I-93
